"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KIT|3815",11358.0402761898,3.60114655811255,0.391700033045001,9.19363353155201,3.79790832903167e-20,1.00259577272287e-17
"SULT1C3|442038",197.353320791824,5.20515428002565,0.56813350837637,9.16185052154572,5.1014870005507e-20,1.32852372956233e-17
"KY|339855",337.603486441908,3.63212321387986,0.397077185469641,9.14714656694261,5.84571766758064e-20,1.50203766895929e-17
"SDPR|8436",7313.3611637586,3.59865086655208,0.395310269902977,9.10335789514225,8.75812457810379e-20,2.22076077295577e-17
"NUF2|83540",621.577467866165,-3.7157796903025,0.409047047652248,-9.08399097763805,1.0466496073292e-19,2.61947851725209e-17
"TDO2|6999",107.429439291041,-3.9535421127115,0.435641865724013,-9.07521159873129,1.13456833476473e-19,2.80311107426297e-17
"SFRP1|6422",51337.9717281964,3.33293431337672,0.367508483790261,9.06899965683199,1.20114668309937e-19,2.93003768734278e-17
"BIRC5|332",872.959074611918,-3.55117465628092,0.391992102456987,-9.05930153700121,1.31288531033826e-19,3.16257660194106e-17
"BUB1|699",974.608918417949,-3.37815876876944,0.373223492879809,-9.05130259272646,1.41272873120836e-19,3.36107350359461e-17
"LOC283392|283392",1157.15098405679,4.65740415133169,0.520058278251572,8.95554276530279,3.3806830503817e-19,7.94501744681776e-17
"BTNL9|153579",5015.54886520397,3.75915941251513,0.420563130930491,8.93839506139786,3.94863204183864e-19,9.16796241906898e-17
"HS3ST4|9951",159.840523637495,3.87753506280161,0.434384871853104,8.92649655652115,4.39713210531963e-19,1.00877539049541e-16
"FGF2|2247",4119.53073287611,3.45342062204669,0.388163211863308,8.89682617131377,5.74664004893603e-19,1.30286471038878e-16
"PLIN4|729359",72670.6608359107,4.18875243849853,0.470969146511291,8.89389988606847,5.90008553556077e-19,1.32209939948595e-16
"HSD17B2|3294",329.926224000645,3.90468711125382,0.439101653294557,8.89244456712279,5.97789797144654e-19,1.32413875641088e-16
"GYS2|2998",317.262366720085,4.70134551678486,0.530490855269466,8.86225553199552,7.84116189967649e-19,1.71712535191666e-16
"IQGAP3|128239",1550.04057853264,-3.81312735770205,0.431097304201123,-8.84516632449894,9.13920802845985e-19,1.9788952574882e-16
"CXCL9|4283",6498.02969832883,-3.47721714553721,0.39557766865181,-8.79022609488577,1.49259281173165e-18,3.16085231592095e-16
"PI15|51050",9464.83965191731,3.2422722991031,0.368800387486382,8.79140155248026,1.47705621399307e-18,3.16085231592095e-16
"CLDN8|9073",1993.93380325783,3.53175479913987,0.401938810616049,8.78679715881822,1.5388427158545e-18,3.22337369317741e-16
"COL17A1|1308",13783.5019718795,3.6553726092291,0.416453932932407,8.77737564750622,1.67333362023291e-18,3.46739916080735e-16
"ACVR1C|130399",5438.7424592364,4.3218829093018,0.492920592772565,8.76790901551141,1.82014819508191e-18,3.73149743270463e-16
"SOSTDC1|25928",932.610047836117,3.57642760257332,0.408091472941036,8.76378910051391,1.88794883512994e-18,3.82975389492516e-16
"TMEM132C|92293",2731.06773654045,4.14689940236383,0.475424799728094,8.72251385442143,2.7209237528343e-18,5.46197100425728e-16
"CALML5|51806",5713.45904085097,-3.31762361577757,0.381010312207401,-8.70743785530833,3.10820530581866e-18,6.17507468540531e-16
"SYNM|23336",36609.8642718661,3.24048441250287,0.372372543445437,8.70226462595703,3.25325889662497e-18,6.39730124457753e-16
"FOS|2353",69671.541595219,3.24248827604157,0.37352563077488,8.68076514405457,3.93115149377745e-18,7.65224448854396e-16
"MATN2|4147",9599.72421068739,3.16964790979395,0.365789582803634,8.66522191665448,4.50634352350068e-18,8.68417460413816e-16
"ARHGAP36|158763",734.633750675651,3.67852647414169,0.424695238220088,8.66156750322543,4.65320843192686e-18,8.87841383085768e-16
"ADH1A|124",1170.61500311546,4.27074269959658,0.494715151549214,8.63273074661779,5.99043346196204e-18,1.13178081613206e-15
"LHCGR|3973",53.675747425226,4.78005967755339,0.554839520565597,8.61521124645312,6.98127554256327e-18,1.30617632020133e-15
"CEP55|55165",826.516976106329,-3.5266988821835,0.410607433194948,-8.58897963619935,8.77450674750263e-18,1.6258992262608e-15
"SLC4A4|8671",838.13577971925,3.22445242174219,0.376837118307716,8.55662105745428,1.16223783039552e-17,2.13309383138591e-15
"CCL11|6356",49.0952397297847,-4.27527514366073,0.49978314363392,-8.55426037896204,1.18626867326994e-17,2.15665883043255e-15
"HAGHL|84264",224.681472735658,-3.55517892765876,0.415682375277431,-8.55263330634595,1.20311645840588e-17,2.16684647382615e-15
"FMO2|2327",10679.1973479848,3.50119542100096,0.410109028519684,8.53723077894373,1.37476805049457e-17,2.45306991676675e-15
"VIT|5212",827.561457590913,3.21712620527643,0.376967580288963,8.53422515222755,1.41097830777791e-17,2.49458375864111e-15
"MAOA|4128",13491.4554175157,3.36272839509072,0.395361482385581,8.50545271835857,1.80888330341899e-17,3.16899910365339e-15
"C4BPA|722",260.585212342093,3.59668402938785,0.423361968453687,8.4955293516907,1.97032852721452e-17,3.42073883314873e-15
"ASF1B|55723",740.519043380784,-3.22307789380119,0.380141255442526,-8.47863221277882,2.27856716794875e-17,3.92055963335182e-15
"KRT5|3852",38350.5397073071,3.30907793417624,0.390844032188381,8.46649215966871,2.52893847024898e-17,4.31284719116532e-15
"PTCHD1|139411",417.173883703777,3.30308556846363,0.390776436553567,8.45262216318625,2.84832276916606e-17,4.81491474426308e-15
"GRIA4|2893",849.860667654639,3.92151579769645,0.465015069603072,8.43309400928399,3.36644054627147e-17,5.64127615366935e-15
"CES1|1066",7914.82136412751,3.45161186581653,0.409461465439309,8.42963784666114,3.4673661159082e-17,5.76031141548853e-15
"MMP10|4319",104.747774254577,-3.76758222274574,0.447266127413442,-8.42358048559102,3.65150043268349e-17,6.01436451608919e-15
"FAM64A|54478",228.26046212553,-3.38072448147177,0.401704662783894,-8.41594533168391,3.89739045375397e-17,6.36496707070277e-15
"GPD1|2819",29089.5231019722,4.17506127476638,0.496170440319323,8.41457075129145,3.94336212148224e-17,6.38592701202388e-15
"HAPLN1|1404",411.296617644778,-4.8986872742122,0.582617014083838,-8.40807452545023,4.16796300525629e-17,6.69340125619117e-15
"PIK3C2G|5288",1269.11363975458,3.56762304674466,0.425153420880972,8.39137796269424,4.80476922650392e-17,7.65228989784769e-15
"PLIN1|5346",45827.3552798546,4.18817596954554,0.499648150771373,8.38225051584739,5.19251712309501e-17,8.13536564871252e-15
"RNF150|57484",1053.55726679405,3.13594484776585,0.374098082037871,8.38268090197905,5.17355928265197e-17,8.13536564871252e-15
"TIMP4|7079",3764.77398730808,4.032454670992,0.481234560100287,8.37939542445091,5.32002597279682e-17,8.26792100981996e-15
"PITX1|5307",570.819378552312,-3.18285974016605,0.380144327839769,-8.37276662328008,5.62809970838057e-17,8.67672875841616e-15
"CD36|948",78654.9234555419,3.63330609335174,0.434175759343,8.36828407659078,5.84633135022953e-17,8.94163900398994e-15
"DCT|1638",120.319992670475,3.89260149051005,0.465565194271083,8.36102341500107,6.21765034706455e-17,9.43467242821109e-15
"LOC283867|283867",32.481756556996,-4.82480540291818,0.578156293677171,-8.34515762551265,7.11189644736424e-17,1.07072934716528e-14
"UBE2C|11065",1272.26280240362,-3.68483238879111,0.441675653675546,-8.34284696955014,7.25229915467847e-17,1.0834035427117e-14
"MME|4311",16453.4683476322,3.32386506685258,0.399123701097818,8.32790700654975,8.22841076425922e-17,1.2197669526003e-14
"CHRDL1|91851",15196.5744596958,3.6497388158398,0.438470731490316,8.32379119909492,8.51936233957089e-17,1.24376236095356e-14
"LRRC15|131578",5007.49569324649,-3.56058028516135,0.427714985702086,-8.32465638143757,8.45737119722103e-17,1.24376236095356e-14
"TNMD|64102",498.940807251406,3.80064184819225,0.457218234272407,8.31253341030982,9.36802643891362e-17,1.35737772559627e-14
"CAPSL|133690",55.2268694965662,-4.32118289377847,0.52170726841608,-8.28277303265818,1.20339643248413e-16,1.73064572017923e-14
"MMP9|4318",2658.22079983671,-3.23243220240789,0.390393523722214,-8.27993295479959,1.23244649430766e-16,1.75929454754095e-14
"GPAM|57678",27684.8589838436,3.51029548001836,0.424093249846357,8.27717838303274,1.2612821162746e-16,1.78721821049469e-14
"STAC2|342667",7824.52491872092,3.32711449452929,0.402222574613644,8.27182436919449,1.31924545586011e-16,1.85570650948031e-14
"GYG2|8908",12191.1391452417,4.00456013932716,0.484739832361896,8.26125659988561,1.441468351286e-16,2.01293743461105e-14
"FOXM1|2305",1729.76452350228,-3.20750995081409,0.388584430593944,-8.25434499758901,1.52737561165615e-16,2.11755794332559e-14
"GPIHBP1|338328",1725.96789397404,3.25991170481898,0.395262673599364,8.24745649553341,1.61801372857847e-16,2.22719589738826e-14
"GPC3|2719",8541.62780470645,3.05124430854496,0.370524529868389,8.23493200201553,1.79659652646756e-16,2.4554760043657e-14
"PCK1|5105",5783.47171109553,4.38481083400012,0.532938046627972,8.22761831650767,1.90972463207964e-16,2.59171150597231e-14
"KRT14|3861",35557.1906123415,3.01323104479629,0.366364559107766,8.22467940713105,1.95713638415924e-16,2.63748078735194e-14
"CLCA4|22802",197.983401114246,3.46291447626261,0.421196134433968,8.22161979457933,2.00772819551276e-16,2.68687014275878e-14
"ACACB|32",17589.9714488981,3.35658741668595,0.409092898058639,8.20495157118279,2.30683855550784e-16,3.06586798642701e-14
"ALDH1L1|10840",3271.52916668161,3.59714420373081,0.438521311708911,8.20289483699846,2.34666468552218e-16,3.09743665443137e-14
"HOXA5|3202",562.01876632471,3.10907701731667,0.379060186025783,8.20206693273028,2.36288667903073e-16,3.09763191779601e-14
"CLEC5A|23601",297.236889658977,-3.20533335998517,0.391451879434073,-8.18832027226222,2.64897135676597e-16,3.44921128488088e-14
"LPL|4023",64299.0640098066,3.87965438526359,0.475792508826312,8.1540888376615,3.51822193476944e-16,4.55031240972764e-14
"KCNIP2|30819",6273.09340138483,4.02521085054968,0.494100073774614,8.14654978656368,3.74454624180646e-16,4.81074337505682e-14
"FXYD1|5348",1450.6080711353,3.47122002589625,0.426262825851068,8.14337966010917,3.84394541558166e-16,4.90573987441551e-14
"TPX2|22974",2486.16139838391,-3.2319790558553,0.397109305843991,-8.13876433589552,3.99332394503215e-16,5.06285169373122e-14
"MYH7|4625",375.422843062673,-4.36728984169824,0.538797158123111,-8.10562894747182,5.2473357908345e-16,6.56632519643971e-14
"RFX6|222546",55.1323174278192,4.24473472880601,0.523650335591402,8.10604794898502,5.22928153591535e-16,6.56632519643971e-14
"CHL1|10752",3187.70922092159,3.15370967023996,0.389357046988986,8.09978834241871,5.50548886868044e-16,6.84492103150586e-14
"DACT2|168002",162.159049972597,3.5470323986303,0.438108422207063,8.09624334716366,5.66823808402031e-16,7.00209077674073e-14
"CDC25C|995",189.133988324485,-3.39371414032049,0.419320513611184,-8.09336540941882,5.80384188674385e-16,7.12393866238476e-14
"DEPDC1|55635",481.804708779367,-3.12678010137184,0.386757470582495,-8.08460169279368,6.23676881497754e-16,7.6068842932552e-14
"PAQR4|124222",1911.89678969851,-3.14444201469353,0.389105270619338,-8.08121156952855,6.412644501803e-16,7.77220579838023e-14
"SGCG|6445",299.125979044342,3.80941170188511,0.471821897612915,8.0738340487333,6.81244517693573e-16,8.20516443779553e-14
"BUB1B|701",818.067844089807,-3.0456479124133,0.377970299906217,-8.05790273248717,7.76145368983954e-16,9.29012261222967e-14
"HPSE2|60495",162.786037677792,3.68529875714149,0.460111585153507,8.009576102962,1.15104492905033e-15,1.36924610047709e-13
"SCN3A|6328",388.638250308392,3.1983418528048,0.399467696204407,8.0065093703302,1.18010160453592e-15,1.39519865159581e-13
"UMODL1|89766",121.846987269437,-3.46500748025186,0.432998957718375,-8.00234600681307,1.22070787778709e-15,1.43440618980702e-13
"CCNB2|9133",771.543625195592,-3.08438021920295,0.385653844913701,-7.99779455042941,1.26667491034726e-15,1.47939952710921e-13
"NCRNA00086|399668",448.732040774047,3.20459092974052,0.402353653180416,7.96461248558262,1.6574235235396e-15,1.92410895916455e-13
"HIST1H3D|8351",74.5390352189921,-3.54264632756319,0.446266064917423,-7.9384174734835,2.04777097147705e-15,2.34896395186513e-13
"NUSAP1|51203",1809.38831614192,-3.09476750038761,0.389841454274858,-7.9385285131982,2.04593891152701e-15,2.34896395186513e-13
"GLRA3|8001",306.247810746412,3.90192729285545,0.494293997310803,7.89394027458115,2.92792324972675e-15,3.33869875417066e-13
"TUSC5|286753",11433.3678129659,4.21040086815426,0.533642313823134,7.88993068782345,3.02354415364592e-15,3.42745408146532e-13
"NTRK2|4915",24935.2242267444,2.95782794244666,0.375120569930281,7.88500599419647,3.14520418755496e-15,3.54451636832582e-13
"PTPRQ|374462",326.717612366381,3.49349507833185,0.443193706202926,7.88254668204217,3.207751137733e-15,3.59398675437515e-13
"SLC7A10|56301",1150.14888420125,4.22306588454068,0.535817326449619,7.88154036100913,3.2336962625333e-15,3.60211333383117e-13
"MKI67|4288",3483.34302386426,-3.06694575314942,0.389192341626168,-7.88028289645875,3.26640696936784e-15,3.61763958084412e-13
"AQP7P1|375719",2974.82845067887,3.91054470994107,0.498688500522997,7.84165808082583,4.44635710335414e-15,4.89632844221357e-13
"SLC24A2|25769",47.7798972060385,-4.10645619999916,0.524085587437536,-7.83546866853803,4.67097119172326e-15,5.11444805884653e-13
"FABP4|2167",79524.8829920649,4.02791874069557,0.514945814484192,7.82202442936687,5.19805179297184e-15,5.65941559900341e-13
"CDC20|991",1183.8722948558,-2.9090514562228,0.373165027713634,-7.79561652399862,6.40947598127342e-15,6.93915795702922e-13
"CENPF|1063",4800.73829277365,-3.07489968054707,0.39507553750079,-7.78306776470797,7.07866919315331e-15,7.59255680947031e-13
"IGSF10|285313",2310.94279818936,3.04689821748603,0.39148958252618,7.78283344814743,7.09179713405975e-15,7.59255680947031e-13
"CKAP2L|150468",339.65195651924,-3.02014617552239,0.388337286194201,-7.77712128835363,7.41934665270592e-15,7.89934968753016e-13
"AQP7|364",4112.18081929755,3.97124021841278,0.510965534637599,7.77203147611388,7.72372490743534e-15,8.17823641160365e-13
"CIDEC|63924",13708.8423145057,4.00895464961685,0.516281374922629,7.7650576688296,8.16080839968697e-15,8.59382178526599e-13
"C5orf4|10826",4474.53157244064,2.86896129266592,0.369597025853019,7.7624036233637,8.33346950314831e-15,8.72795058669408e-13
"ID4|3400",5442.6592036835,2.84160145415037,0.366573658630733,7.75178845300735,9.06072475270592e-15,9.43833657888626e-13
"ADIPOQ|9370",86744.8666503518,3.98000135804732,0.516048485468876,7.71245623254011,1.23419009935276e-14,1.27871383895844e-12
"LOC55908|55908",181.036462769925,3.66979552644114,0.476609462109564,7.69979578289933,1.36283858304482e-14,1.40445253122229e-12
"MELK|9833",701.530289373634,-2.99438817470761,0.388999361102717,-7.69766861883593,1.3857116900039e-14,1.41401149855825e-12
"SLC19A3|80704",9752.89286934415,3.99391654533931,0.518854253058771,7.6975692533967,1.38678933748903e-14,1.41401149855825e-12
"AKR1C2|1646",6655.13567852807,3.74146752223994,0.4863098650256,7.69358754843063,1.43065733455502e-14,1.44346583739318e-12
"E2F8|79733",209.020616011268,-3.10271549600029,0.403273556066463,-7.69382333487032,1.4280219751417e-14,1.44346583739318e-12
"EGR1|1958",83772.5947121831,3.05224118265978,0.397006842403866,7.6881324366566,1.49298226079003e-14,1.49850318477524e-12
"FAM111B|374393",1145.94946307915,-2.88504987639563,0.375303803017825,-7.68723858697112,1.50344614746001e-14,1.50118708330061e-12
"NPY2R|4887",637.724035172413,3.76741732505159,0.490145103133985,7.68633064160541,1.51414891138777e-14,1.50408060161617e-12
"NTF4|4909",142.140457502217,3.63554509558796,0.473646656588593,7.67564817573656,1.64584280536831e-14,1.62651470267963e-12
"GLYAT|10249",1026.81852872633,4.13222877662677,0.538658154374452,7.6713380147852,1.70211338639487e-14,1.67354219740896e-12
"CNTNAP3|79937",1106.56396552526,2.86058038462701,0.373309921307132,7.66274942442135,1.81994215548423e-14,1.78030991260592e-12
"ATOH8|84913",900.229546894436,3.28188871711702,0.428887943072806,7.65208901328312,1.97740275887411e-14,1.92457214981126e-12
"TK1|7083",1572.65895038225,-2.82630605248557,0.369737256003736,-7.64409322185539,2.10422920154559e-14,2.03771864035101e-12
"KIAA1199|57214",670.66192512033,-2.87794562010333,0.377068075670263,-7.63242980723731,2.30369892419549e-14,2.21972909840856e-12
"RBP4|5950",11130.3033243392,3.97897267584602,0.521568058997141,7.6288657006656,2.36828191509703e-14,2.27060501422064e-12
"SLC7A3|84889",235.845676051145,3.67128571206443,0.481290456531512,7.62800438330332,2.38415458691871e-14,2.27450708141141e-12
"COL1A1|1277",204071.48413755,-3.02348627572242,0.396561274951746,-7.62426002410428,2.45438192306597e-14,2.32997014972435e-12
"HOXA9|3205",464.800714415278,2.9154731104714,0.382447678550627,7.62319468514035,2.47473203243366e-14,2.33777259789359e-12
"SGOL1|151648",191.443732861412,-3.07210739756053,0.40332261467639,-7.61699762366529,2.59644113401104e-14,2.44078132163545e-12
"PAMR1|25891",3164.95589383536,2.79711718751231,0.367352872088029,7.61425158217367,2.65223752716808e-14,2.48112958184738e-12
"TBX10|347853",54.845645442864,-4.35973589217218,0.57283839016668,-7.61076067353589,2.7248739254765e-14,2.53676547912356e-12
"AQPEP|206338",900.295010331066,3.73148980625985,0.491052099999657,7.59896924636398,2.98498699132847e-14,2.76556174566783e-12
"DEPDC1B|55789",253.70374386709,-3.06228572056409,0.403727372059266,-7.58503369475419,3.3240067130093e-14,3.06492504145465e-12
"ZBTB16|7704",1166.12156677509,2.90771401763748,0.383491263910551,7.58221709664736,3.39699225521549e-14,3.11730655953608e-12
"NLGN1|22871",124.950139909387,3.32372011371049,0.438589499056113,7.57820267211927,3.50374772837593e-14,3.20003424045178e-12
"MYEOV|26579",465.062814657062,3.21990402931351,0.425650998646328,7.56465752354294,3.88887816953282e-14,3.53502694363524e-12
"E2F7|144455",231.741610615055,-3.21366017395304,0.425276117634011,-7.5566438854643,4.13602325057106e-14,3.74203305454248e-12
"ADAMTS14|140766",169.307597515733,-3.16126735444471,0.418530295764162,-7.55325811880068,4.24502509254391e-14,3.82270460553335e-12
"MAGEA4|4103",131.543493121178,-4.48469688902929,0.594196399936938,-7.54749926035441,4.43695062282301e-14,3.97695234662429e-12
"GABBR2|9568",277.748226082979,-3.20414375608499,0.425122802805871,-7.53698398424451,4.80965372449637e-14,4.29105726503562e-12
"ESM1|11082",429.095570774348,-2.89559357941407,0.384501639145908,-7.53077044312748,5.044180009695e-14,4.47955727957753e-12
